func_name,ncalls,tottime,cumtime
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 120, '__post_init__')",7,8.8418e-05,1.021191168
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 187, '<dictcomp>')",6,0.004998792,0.004998792
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 174, 'get_curves')",6,0.029893819000000002,5.5497323750000005
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/managers/contracts.py', 19, 'init_tenderly_event_contracts')",1,5.84e-07,5.84e-07
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 252, '__post_init__')",7,1.8e-05,1.0212091680000002
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 269, '<listcomp>')",6,9.499e-06,9.499e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 272, '<listcomp>')",6,1.0127000000000001e-05,1.0127000000000001e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 277, '<listcomp>')",6,3.6670000000000002e-06,3.6670000000000002e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 258, '_simple_ordering_by_src_token')",6,4.8498e-05,7.2043e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 313, '<listcomp>')",6,2.6167000000000002e-05,2.75e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 308, '_basic_scaling')",6,4.6083000000000006e-05,7.3583e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 326, '<dictcomp>')",18,1.5209000000000001e-05,1.5209000000000001e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 325, '<listcomp>')",6,1.2583000000000001e-05,2.8584000000000003e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 322, '_drop_error')",6,2.0543e-05,4.9376e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 348, '<genexpr>')",24,6.7542e-05,6.7542e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 359, '<listcomp>')",6,7.908100000000001e-05,2.791684458
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 330, '_convert_trade_instructions')",6,2.6917000000000003e-05,2.7917752080000002
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 423, '_get_arb_finder')",6,1.0959000000000001e-05,1.0959000000000001e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 441, '_run')",6,0.002846707,170.621716666
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 690, '<lambda>')",109,1.8961e-05,1.8961e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 677, 'randomize')",6,8.375300000000001e-05,0.000197001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 725, '<genexpr>')",16,1.0874000000000001e-05,1.3000000000000001e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 720, '_carbon_in_trade_route')",6,6.7090000000000005e-06,2.4043e-05
