,func_name,ncalls,tottime,cumtime,avg_time,percall_cumtime,percall_tottime,percall_avg_time
0,"('/fastlane_bot/bot.py', 252, '__post_init__')",1,0.0,0.1558,0.0,0.1558,0.0,0.0
1,"('/fastlane_bot/bot.py', 120, '__post_init__')",7,0.0001,1.1518,0.0,0.1645,0.0,0.0
2,"('/fastlane_bot/bot.py', 154, 'C')",7,0.0,0.0,0.0,0.0,0.0,0.0
3,"('/fastlane_bot/bot.py', 187, '<dictcomp>')",6,0.0014,0.0014,0.0002,0.0002,0.0002,0.0
4,"('/fastlane_bot/bot.py', 174, 'get_curves')",6,0.0103,1.049,0.0017,0.1748,0.0017,0.0003
5,"('/fastlane_bot/events/managers/contracts.py', 19, 'init_tenderly_event_contracts')",1,0.0,0.0,0.0,0.0,0.0,0.0
6,"('/fastlane_bot/bot.py', 423, '_get_arb_finder')",6,0.0,0.0,0.0,0.0,0.0,0.0
7,"('/fastlane_bot/bot.py', 1227, '<listcomp>')",6,0.0061,0.0387,0.001,0.0064,0.001,0.0002
8,"('/fastlane_bot/bot.py', 1236, '<listcomp>')",6,0.0043,0.0564,0.0007,0.0094,0.0007,0.0001
9,"('/fastlane_bot/config/network.py', 119, 'new')",1,0.0,0.0,0.0,0.0,0.0,0.0
10,"('/fastlane_bot/config/network.py', 133, '__init__')",1,0.0,0.0,0.0,0.0,0.0,0.0
11,"('/fastlane_bot/config/base.py', 16, '__init__')",4,0.0,0.0,0.0,0.0,0.0,0.0
12,"('/fastlane_bot/config/db.py', 34, 'new')",1,0.0,0.0,0.0,0.0,0.0,0.0
13,"('/fastlane_bot/config/db.py', 54, '__init__')",1,0.0,0.0,0.0,0.0,0.0,0.0
14,"('/fastlane_bot/config/db.py', 73, '__init__')",1,0.0,0.0,0.0,0.0,0.0,0.0
15,"('/fastlane_bot/config/logger.py', 34, 'get_logger')",1,0.0,0.0008,0.0,0.0008,0.0,0.0
16,"('/fastlane_bot/config/logger.py', 93, 'debug')",590,0.001,0.0019,0.0,0.0,0.0,0.0
17,"('/fastlane_bot/config/logger.py', 97, 'info')",219,0.0003,0.0202,0.0,0.0001,0.0,0.0
18,"('/fastlane_bot/config/logger.py', 89, 'logger')",809,0.0002,0.0002,0.0,0.0,0.0,0.0
19,"('/fastlane_bot/config/logger.py', 109, 'new')",1,0.0,0.0008,0.0,0.0008,0.0,0.0
