,pair,pair_reverse,exchange_name,exchange,address,address0,address1,symbol0,symbol1,fee,decimal0,decimal1,exchange_version,exchange_id,exchange_type,anchor
71,BNT_ETH,ETH_BNT,bancor,bancor_v2,0x4c9a2bD661D640dA3634A4988a9Bd2Bc0f18e5a9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,BNT,ETH,0.001,18,18,v2,1,Constant Product Pool,0xb1CD6e4153B2a390Cf00A6556b0fC1458C4A5533
72,BNT_DAI,DAI_BNT,bancor,bancor_v2,0xaB7aE646063087317C1f410c6661364779f87d73,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6B175474E89094C44Da98b954EedeAC495271d0F,BNT,DAI,0.01,18,18,v2,1,Constant Product Pool,0xE5Df055773Bf9710053923599504831c7DBdD697
73,LINK_BNT,BNT_LINK,bancor,bancor_v2,0x8df51A9714aE6357a5B829CC8d677b43D7e8BD53,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,LINK,BNT,0.005,18,18,v2,1,Constant Product Pool,0x04D0231162b4784b706908c787CE32bD075db9b7
74,BNT_1INCH,1INCH_BNT,bancor,bancor_v2,0x1E2FAb153B72B482EeCF6D3763AF8d43Df534171,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x111111111117dC0aa78b770fA6A738034120C302,BNT,1INCH,0.002,18,18,v2,1,Constant Product Pool,0x1Ed2D69319c9680f3338CcA93cD08269C5dD71Cf
75,AAVE_BNT,BNT_AAVE,bancor,bancor_v2,0x5bA42FaCDBc4aEAe6bEFcc567fd62e9242Fc69Ad,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,AAVE,BNT,0.002,18,18,v2,1,Constant Product Pool,0x6c84F4ccC916ACf792538f1293b286b540906A2a
76,BNT_ALCX,ALCX_BNT,bancor,bancor_v2,0x3740209895dCF4aCc8E5eE0E88e20E0A177a9b27,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,BNT,ALCX,0.002,18,18,v2,1,Constant Product Pool,0x2d5AcfAb9267a38918cB69761C4C6593266f0d27
77,ALEPH_BNT,BNT_ALEPH,bancor,bancor_v2,0x68A6cB3E401c77c316dCCa65f70de8ad3020bA9f,0x27702a26126e0B3702af63Ee09aC4d1A084EF628,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,ALEPH,BNT,0.002,18,18,v2,1,Constant Product Pool,0x3b8c8147325C378cfe10f7b8c3aB1683D300dF27
78,BNT_ALPHA,ALPHA_BNT,bancor,bancor_v2,0xF8d9b7691E7721A8697e1D72725375A7aBFDf670,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,BNT,ALPHA,0.002,18,18,v2,1,Constant Product Pool,0x13FAC856D064ACE14Cd4E253cD7B35850c44D07d
79,BNT_AMP,AMP_BNT,bancor,bancor_v2,0x6a74941C1Cf4151b3f15CdD84eE3abDe713A999B,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2,BNT,AMP,0.01,18,18,v2,1,Constant Product Pool,0xFEdD9fEF8f30b78fa14E2b7841A66AbA5EA5e850
80,BNT_ANKR,ANKR_BNT,bancor,bancor_v2,0xc6bef16472752a7F967eF3087C53f807f6ecB5A0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4,BNT,ANKR,0.002,18,18,v2,1,Constant Product Pool,0xf833262A4f6D3663Ea02EF85a608ca097Df5b609
81,BNT_ANT,ANT_BNT,bancor,bancor_v2,0x72f77088D3307b678D428CDf55474600Beb02E4C,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0,BNT,ANT,0.005,18,18,v2,1,Constant Product Pool,0x0c485BffD5df019F66927B2C32360159884D4409
82,BNT_APW,APW_BNT,bancor,bancor_v2,0x073D987513cA27ae5801f389C6EC5bd8C84909B2,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x4104b135DBC9609Fc1A9490E61369036497660c8,BNT,APW,0.002,18,18,v2,1,Constant Product Pool,0xBd106861ed0F145ee37993e2fD54056F18C08F77
83,BNT_ARCONA,ARCONA_BNT,bancor,bancor_v2,0x0C898e4E13B73364648C20d9e3C7dDb3A2a6788E,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0f71B8De197A1C84d31de0F1fA7926c365F052B3,BNT,ARCONA,0.003,18,18,v2,1,Constant Product Pool,0x2aB11cbdad7EdcF6491058dB66d7044Bb9DA66DB
84,BNT_AUC,AUC_BNT,bancor,bancor_v2,0xFeA136eEa22e4146432d6a9390e208271d421124,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc12d099be31567add4e4e4d0D45691C3F58f5663,BNT,AUC,0.002,18,18,v2,1,Constant Product Pool,0xe3b17228Cf09C0C6F1e2E9F93E507e9039cABb87
85,BNT_BAT,BAT_BNT,bancor,bancor_v2,0xd72e360Eb08B36450849dc533edC1B8dB1Bd6D91,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,BNT,BAT,0.005,18,18,v2,1,Constant Product Pool,0x131da075a2832549128e93AcC2b54174045232Cf
86,BNT_bBADGER,bBADGER_BNT,bancor,bancor_v2,0x600504326B902A7E83BD6F2081b1142F4A82F951,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28,BNT,bBADGER,0.003,18,18,v2,1,Constant Product Pool,0x22c876b7c93b222033Af648316c5Ab0dee1D4B4c
87,BNT_BBS,BBS_BNT,bancor,bancor_v2,0xD591d1A290f9a2B8daFDb9248b9e34E8d8619645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xFe459828c90c0BA4bC8b42F5C5D44F316700B430,BNT,BBS,0.002,18,18,v2,1,Constant Product Pool,0x0dcA718541EBC4E50eB4D143bE9A99f353b457F5
88,BNT_BMI,BMI_BNT,bancor,bancor_v2,0x5505cF19fEFBFaE5D6405949Ff673fcCF483126D,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x725C263e32c72dDC3A19bEa12C5a0479a81eE688,BNT,BMI,0.01,18,18,v2,1,Constant Product Pool,0xF3A221a9C4e4A06404Fb9848dCF3411b9517310B
