address,decimals,symbol
0x765DE816845861e75A25fCA122bb6898B8B1282a,18,CUSD
0x73a210637f6F6B7005512677Ba6B3C96bb4AA44B,18,MOBI
0xD8763CBa276a3738E6DE85b4b3bF5FDed6D6cA73,18,CEUR
0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,18,UBE
0x71e26d0E519D14591b9dE9a0fE9513A398101490,18,UBE
0x9802d866fdE4563d088a6619F7CeF82C0B991A55,18,MCREAL
0x27cd006548dF7C8c8e9fdc4A67fa05C2E3CA5CF9,9,PLASTIK
0xe8537a3d056DA446677B9E9d6c5dB704EaAb4787,18,CREAL
0x471EcE3750Da237f93B8E339c536989b8978a438,18,CELO
0x456a3D042C0DbD3db53D5489e98dFb038553B0d0,18,CKES
0x2b9018CeB303D540BbF08De8e7De64fDDD63396C,18,PACT
0x46c9757C5497c5B1f2eb73aE79b6B67D119B0B58,18,PACT
0xE685d21b7B0FC7A248a6A8E03b8Db22d013Aa2eE,9,IMMO
0x7D00cd74FF385c955EA3d79e47BF06bD7386387D,18,MCELO
0xE273Ad7ee11dCfAA87383aD5977EE1504aC07568,18,MCEUR
0x74c0C58B99b68cF16A717279AC2d056A34ba2bFe,18,SOURCE
0x918146359264C492BD6934071c6Bd31C854EDBc3,18,MCUSD
0xae978582DE8cA83A53Eb1d8f879Ba854895f96b1,18,TGS
0x00400FcbF0816bebB94654259de7273f4A05c762,18,POOF
0x7FF62f59e3e89EA34163EA1458EEBCc81177Cfb6,18,MENTO
0x17700282592D6917F6A73D0bF8AcCf4D578c131e,18,MOO
0x1d18d0386F51ab03E7E84E71BdA1681EbA865F1f,18,JMPT
0x62B8B11039FcfE5aB0C56E502b1C372A3d2a9c7A,18,G
0x37f750B7cC259A2f741AF45294f6a16572CF5cAd,6,USDCET
0x50E85c754929840B58614F48e29C64BC78C58345,18,CHAR
0x4F604735c1cF31399C6E711D5962b2B3E0225AD3,18,USDGLO
0xD15EC721C2A896512Ad29C671997DD68f9593226,18,SUSHI
0xEB466342C4d449BC9f53A865D5Cb90586f405215,6,AXLUSDC
0xbDd31EFfb9E9f7509fEaAc5B4091b31645A47e4b,18,TFBX
0x48065fbBE25f71C9282ddf5e1cD6D6A887483D5e,6,USDT
0xcebA9300f2b948710d2653dD7B07f33A8B32118C,6,USDC
0xC16B81Af351BA9e64C1a069E3Ab18c244A1E3049,18,EURA
0xd252E98C5B6ea1E29A7e2789A9eC0493707A60B9,18,KRW
0x2DEf4285787d58a2f811AF24755A8150622f4361,18,WETH
0x9995cc8F20Db5896943Afc8eE0ba463259c931ed,18,ETHIX
0xD629eb00dEced2a080B7EC630eF6aC117e614f1b,18,WBTC
0x6e512BFC33be36F2666754E996ff103AD1680Cc9,18,ABR
0xB9C8F0d3254007eE4b98970b94544e473Cd610EC,18,MIMATIC
0x64dEFa3544c695db8c535D289d843a189aa26b98,18,mCUSD
0x18414Ce6dAece0365f935F3e78A7C1993e77d8Cd,18,LAPIS
0x26C17F72DEa13200F562E0438F718cF9e103D316,18,ALIENO
0x22401536505dd5d85F7d57f8B37172feDa8f499d,9,CSHIBA
0xE4fE50cdD716522A56204352f00AA110F731932d,18,DAI
0x98587Fa3FE8ae28aCE515281c1FEC1E992a7F214,18,WBUSD
0xE919F65739c26a42616b7b8eedC6b5524d1e3aC4,18,WETH
0xb020D981420744F6b0FedD22bB67cd37Ce18a1d5,6,USDT
0xd2fF6A40087C94E1462a13619Cf3801aB58Af5C5,18,OKT
0xD90BBdf5904cb7d275c41f897495109B9A5adA58,9,CDOGE
0xe89405B4cC15797f15d640f20961db35E4C6378C,18,cDOGE
0xa8d0E6799FF3Fd19c6459bf02689aE09c4d78Ba7,18,mCEUR
0x1a8Dbe5958c597a744Ba51763AbEBD3355996c3e,18,rCELO
0x4060573AdDB42883238BD6c77a02AB2B23c95F41,18,BTC
0x38F3c44552a3F6E4D21C8c328cE4904DA766D12f,18,SLP
0x4A2b0596c01e0C93eEADD4735bFDb73D1CB99dc4,18,BTCDT
0xCD7D7Ff64746C1909E44Db8e95331F9316478817,18,asUSDC
0xB75f1A1BDAD78c72F2aAB7908A15738248f7f3Ef,18,RKD
0x3aF556B48469D2398AB7BE1563a0cfd80ea4aC84,18,WMATIC
0xa81D9a2d29373777E4082d588958678a6Df5645c,18,KNX
