cid,strategy_id,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,tick_spacing,exchange,pool_type,tkn0_weight,tkn1_weight,tkn2_address,tkn2_decimals,tkn2_symbol,tkn2_balance,tkn2_weight,tkn3_address,tkn3_decimals,tkn3_symbol,tkn3_balance,tkn3_weight,tkn4_address,tkn4_decimals,tkn4_symbol,tkn4_balance,tkn4_weight,tkn5_address,tkn5_decimals,tkn5_symbol,tkn5_balance,tkn5_weight,tkn6_address,tkn6_decimals,tkn6_symbol,tkn6_balance,tkn6_weight,tkn7_address,tkn7_decimals,tkn7_symbol,tkn7_balance,tkn7_weight,y_0,y_1,z_0,z_1,A_0,A_1,B_0,B_1
0x9e4341acef4147196e99d648c5e43b3fc9d026780002000000000000000005ec,0,,0,balancer 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0xF24Bcf4d1e507740041C9cFd2DddB29585aDCe1e 0.01,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0xF24Bcf4d1e507740041C9cFd2DddB29585aDCe1e,balancer,1e+16,0.01,0x9e4341acEf4147196e99d648C5E43B3Fc9D02678,0x9e4341acef4147196e99d648c5e43b3fc9d026780002000000000000000005ec,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xF24Bcf4d1e507740041C9cFd2DddB29585aDCe1e,18,18,7,WFTM,BEETS,0,0,0,0.0,0.0,0.0,0.0,balancer,Weighted,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x07fc9e1a6236a400a28956d4d924f68dadc329d8000200000000000000000109,0,,0,balancer 0x688d5C6b26462e42c56b4eC1d1165CCade418f5D/0x7d59CDad5332EFc72D7ee902c52873446e436B57 0.0015,0x688d5C6b26462e42c56b4eC1d1165CCade418f5D/0x7d59CDad5332EFc72D7ee902c52873446e436B57,balancer,1500000000000000.0,0.0015,0x07fc9E1A6236A400a28956d4D924F68daDc329D8,0x07fc9e1a6236a400a28956d4d924f68dadc329d8000200000000000000000109,0x688d5C6b26462e42c56b4eC1d1165CCade418f5D,0x7d59CDad5332EFc72D7ee902c52873446e436B57,10,11,7,Dap,Nkap,0,0,0,0.0,0.0,0.0,0.0,balancer,Weighted,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xf3a602d30dcb723a74a0198313a7551feaca7dac00010000000000000000005f,0,,0,balancer 0x04068DA6C83AFCFA0e13ba15A6696662335D5B75/0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x321162Cd933E2Be498Cd2267a90534A804051b11/0x74b23882a30290451A17c44f4F05243b6b58C76d 0.02,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75/0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x321162Cd933E2Be498Cd2267a90534A804051b11/0x74b23882a30290451A17c44f4F05243b6b58C76d,balancer,2e+16,0.02,0xf3A602d30dcB723A74a0198313a7551FEacA7DAc,0xf3a602d30dcb723a74a0198313a7551feaca7dac00010000000000000000005f,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,6,18,7,USDC,WFTM,0,0,0,0.0,0.0,0.0,0.0,balancer,Weighted,0.25,0.25,0x321162Cd933E2Be498Cd2267a90534A804051b11,8.0,BTC,0.0,0.25,0x74b23882a30290451A17c44f4F05243b6b58C76d,18.0,ETH,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x40b14672b2d8b19612186977688c2d20acc349fa000200000000000000000703,0,,0,balancer 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x74ccbe53F77b08632ce0CB91D3A545bF6B8E0979 0.02,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x74ccbe53F77b08632ce0CB91D3A545bF6B8E0979,balancer,2e+16,0.02,0x40B14672B2D8b19612186977688c2d20ACC349fa,0x40b14672b2d8b19612186977688c2d20acc349fa000200000000000000000703,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x74ccbe53F77b08632ce0CB91D3A545bF6B8E0979,18,18,7,WFTM,fBOMB,0,0,0,0.0,0.0,0.0,0.0,balancer,Weighted,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x838229095fa83bcd993ef225d01a990e3bc197a800020000000000000000075b,0,,0,balancer 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x28a92dde19D9989F39A49905d7C9C2FAc7799bDf 0.0018,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x28a92dde19D9989F39A49905d7C9C2FAc7799bDf,balancer,1800000000000000.0,0.0018,0x838229095fa83BCD993eF225d01a990E3Bc197A8,0x838229095fa83bcd993ef225d01a990e3bc197a800020000000000000000075b,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x28a92dde19D9989F39A49905d7C9C2FAc7799bDf,18,6,7,WFTM,USDC,0,0,0,0.0,0.0,0.0,0.0,balancer,Weighted,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xcde5a11a4acb4ee4c805352cec57e236bdbc3837000200000000000000000019,0,,0,balancer 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0xF24Bcf4d1e507740041C9cFd2DddB29585aDCe1e 0.0025,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0xF24Bcf4d1e507740041C9cFd2DddB29585aDCe1e,balancer,2500000000000000.0,0.0025,0xcdE5a11a4ACB4eE4c805352Cec57E236bdBC3837,0xcde5a11a4acb4ee4c805352cec57e236bdbc3837000200000000000000000019,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xF24Bcf4d1e507740041C9cFd2DddB29585aDCe1e,18,18,7,WFTM,BEETS,0,0,0,0.0,0.0,0.0,0.0,balancer,Weighted,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xd8e5336664a453059c3a4cce995652f01a8b78c30002000000000000000007d2,0,,0,balancer 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0xDE55B113A27Cc0c5893CAa6Ee1C020b6B46650C0 0.005,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0xDE55B113A27Cc0c5893CAa6Ee1C020b6B46650C0,balancer,5000000000000000.0,0.005,0xD8E5336664A453059c3A4CCe995652f01A8B78C3,0xd8e5336664a453059c3a4cce995652f01a8b78c30002000000000000000007d2,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xDE55B113A27Cc0c5893CAa6Ee1C020b6B46650C0,18,18,7,WFTM,DEUS,0,0,0,0.0,0.0,0.0,0.0,balancer,Weighted,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015,0,,0,balancer 0x04068DA6C83AFCFA0e13ba15A6696662335D5B75/0xF24Bcf4d1e507740041C9cFd2DddB29585aDCe1e 0.0025,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75/0xF24Bcf4d1e507740041C9cFd2DddB29585aDCe1e,balancer,2500000000000000.0,0.0025,0x03c6B3f09D2504606936b1A4DeCeFaD204687890,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0xF24Bcf4d1e507740041C9cFd2DddB29585aDCe1e,6,18,7,USDC,BEETS,0,0,0,0.0,0.0,0.0,0.0,balancer,Weighted,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xcdf68a4d525ba2e90fe959c74330430a5a6b8226000200000000000000000008,0,,0,balancer 0x04068DA6C83AFCFA0e13ba15A6696662335D5B75/0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83 0.0025,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75/0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,balancer,2500000000000000.0,0.0025,0xcdF68a4d525Ba2E90Fe959c74330430A5a6b8226,0xcdf68a4d525ba2e90fe959c74330430a5a6b8226000200000000000000000008,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,6,18,7,USDC,WFTM,0,0,0,0.0,0.0,0.0,0.0,balancer,Weighted,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x843716e9386af1a26808d8e6ce3948d606ff115a00020000000000000000043a,0,,0,balancer 0x10010078a54396F62c96dF8532dc2B4847d47ED3/0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83 0.01,0x10010078a54396F62c96dF8532dc2B4847d47ED3/0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,balancer,1e+16,0.01,0x843716e9386AF1A26808d8E6Ce3948d606FF115A,0x843716e9386af1a26808d8e6ce3948d606ff115a00020000000000000000043a,0x10010078a54396F62c96dF8532dc2B4847d47ED3,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,18,18,7,HND,WFTM,0,0,0,0.0,0.0,0.0,0.0,balancer,Weighted,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
