address,decimals,symbol
0xB25983d38e4Cb5a480CCC8e0Ff6648B0517Fe7BB,18,P3P3
0xa2608afdaa8D1Df3d5aaAD96e200BCFfd63EdB71,18,BOB
0x265B25e22bcd7f10a5bD6E6410F10537Cc7567e8,18,MATIC
0xc31ab955b9F1834A863e3ddbF6b31508fc10ab19,18,TestLinea
0x7d43AABC515C356145049227CeE54B608342c0ad,18,BUSD
0x945C6d2A6ee162A92e7Fed641c85d972Af50eB96,18,SHBL
0x445F631a58D188fb80D8B7e0Faeb07A946d72dEb,18,LINU
0x2fc30AB12cD4971198d203034048aCa2a7B7da00,18,RBX
0xd823B68f66e36f76DF436B5810a043573f4F689A,18,ECHINU
0x10C4b0207aE0ae43593Eee2261b92ca6Ed179CFD,18,LDOGE
0xa61c1d2029CeB1DEcA9D55334C6E76C91E7F2273,18,LiSHIB
0x062FB4625E651dDcE5a368599e9DCd09703A527a,18,SHB
0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f,18,WETH
0x2a7f10680a8c3B8a8a6D409fe464324d39660410,18,POLO
0x5471ea8f739dd37E9B81Be9c5c77754D8AA953E4,18,AVAX
0xc88ae32aD089c1E94bafccFC85fb1F9E2728241d,18,PEPE
0x9201f3b9DfAB7C13Cd659ac5695D12D605B5F1e6,18,ECP
0x46A6ca63CfCF09cbC5E40BF1549F7f626304481A,9,Pepe-X
0x997BF0ebF2a2a2e8189493cedFd19bCDb077c0d0,18,NBS
0x9Dd6EA6f9D1fba5ed640651f06802e32FF455221,18,LIN
0x7796f237D2054717A61c1C3dD2043499885b9BD3,18,LNA
0x9096934bC511ae3406226525E9b35EF4946AF62d,18,LCast
0x7f5373AE26c3E8FfC4c77b7255DF7eC1A9aF52a6,6,axlUSDT
0x1a35EE4640b0A3B87705B0A4B45D227Ba60Ca2ad,8,axlWBTC
0x03CA0C6EfC1c2f7325fb7E9F8c9B861F654C430a,18,PENDLE
0xf5C6825015280CdfD0b56903F9F8B5A2233476F5,18,BNB
0xEB466342C4d449BC9f53A865D5Cb90586f405215,6,axlUSDC
0x5C7e299CF531eb66f2A1dF637d37AbB78e6200C7,18,axlDAI
0xe8190aF5360B38DC779ccb74Ee4FBCBF6626BC6c,18,LDOGE
0x4e809820bf4E16CC6Ae86F837e89f63F45437C13,18,Sdoge
0x8fc86f47464d2F36754775E8B4Cb0e8Cb75DDbBA,18,Doge
0xeC621005472E5E52d205B153eac5E8300a402F42,18,SHERIFF
0x0fA2155Af678686E4b02c7335872503Af440149f,18,100000000000
0x176211869cA2b568f2A7D4EE941E073a821EE1ff,6,USDC
0x60e955B3b0Df66fA4b2f2A992192c3c848b3c915,18,TEST
0xAE7B4Ebf3c7FedA18D5A2a85dC37f40260B40Ac5,18,$Mask
0x02Ae203A24F655ae1Ea5D38214c3E3069cd0017F,18,btcsb
0xA946E7911fD2F45d9CBD1E92D8324D661865Dd63,18,TL
0x9D5d1b60A78b0D10bB7FEb463a12DDC84B080572,18,lin
0xA219439258ca9da29E9Cc4cE5596924745e12B93,6,USDT
0x4AF15ec2A0BD43Db75dd04E62FAA3B8EF36b00d5,18,DAI
0xF1890579D7E596a08b0A1CaA82d1Cc13AAaFebB2,18,3
0x3aAB2285ddcDdaD8edf438C1bAB47e1a9D05a9b4,8,WBTC
0x12fb3e7344AC41aA18dabA9Aeda2d73b8Ded3aFd,18,BIGTIME
0x9921664739FcC77cC43CCa5E6e07F72F80041c78,9,KRILL
0xDC32050E9969B8Ea3597123CB31DDF2034CfBF62,18,NTO
0x1097db7625aE0A5e705F153ac25AE4b6eE66cca4,18,VGQ
0xe7446Fe2D090AD80751E7dfe09D0ed420589089C,18,dove
0xEf531B4045616DE43eEeBCAda8D89104869D32F2,18,PALPABLE
0x596B88eA5d6D75E2E2E3f03c5d2C797ECA82258f,18,ULT
0x3705E83d74580631722D7E8A2D86628EE61f5320,18,ZERO
0xe9503fe0Fd65685CB7e5e7B0e4E1B95266DfA7D7,18,BLOW
0x53F7B069CAA7Fe942E2f304f3e2987C0B177b1B8,18,PIR
0x6Cd70ff7d7415B39485A1424E267eBA435876084,18,DICK
0xB5beDd42000b71FddE22D3eE8a79Bd49A568fC8F,18,wstETH
0xd2dDA4b56bEAe9f8E9C4C83D5159FB092F4b825a,18,lin
0xA44040Dc97688Cb74020647B1D3a89553205Cc7D,18,THE ONE
0xB7C504d07D51fAEAb9Cc75160351388135B7624c,18,BANA
0x42871223D1649Eb2648dA3DC02f85e157a79864A,18,PEPELIN
0x1A1FFF3B159D62aeFA009F5EE1D5aa27cde381FD,18,LINEA
0x5eaCE0A6A052701E95305aF7A846E2EC62c35563,18,LINEAMOON
0x81ACE61e62d52Dc955b2736922f292F00cC91d32,18,LVT
0x95c7C9BB1ABdEe42eFb3d5e2A7048577A2492938,18,MM
0x91D843f9E9248C351fc234922F6489ec75a3bCd7,18,LINU
0x0963a1aBAF36Ca88C21032b82e479353126A1C4b,18,LEET
0xA3E6A6Daa85f789146543ccA047b6200D2DBf663,18,LiPEPE
0x66627F389ae46D881773B7131139b2411980E09E,6,USDC
0x60D01EC2D5E98Ac51C8B4cF84DfCCE98D527c747,18,iZi
0x82a93d9E4c5500b823840C9a54e5a8FbBe176F0D,18,BITCOIN
0x4600e086cd0A38Ae87BCD267ac1B42027684eC9A,10,LINU
0x92174F9334EBb0835421abe4F23bC6D6562D6A73,18,LFLOKI
0xf074ed1c3366789987a33eb7453d1B1380274B17,4,BDOGE
0xe13f9C2FC25bdaDd872CdA50a0559D97dDbE7dBe,9,Ldoge
0x0F048C924A92A854247deC4687C28029A515a1EF,18,PEPE
0x6C6470898882b65E0275723D883A0D877aADe43f,6,USDT
0xa5030764645Bd1bDF98A4c08ab770b6C9A49ea39,18,FML
0xC965d9f85ba52Bb572ccdC8eB0Ece2838a90eD76,18,PEPE3.0
0x84e7b39a2FE2725cCa812C42d55A292bAE6Ce358,18,SLC
0x0B1A02A7309dFbfAD1Cd4adC096582C87e8A3Ac1,18,HZN
0x3Cf71aC998A568BFdCAd622129B1E13CA1f5EBa5,18,META
0x682B0B64d076c951d2A4236994C4078F3B5b2DE4,18,SAMCF
0xc3BA79702d51Ab8fBF92ca9e4e5a6858A3e9053d,18,TLB
0x41c8C14A2Eb9768D39b150664cDe445f63dDeb68,18,PEPETOPIA
0x6c55735Ba0B2bE1A2466319C8807cE70f2059007,18,META
0xB6c3ba17Ac492B8956f5b5cF8e52128Faadec813,18,BLAST
0xEc4Cb1148Ec60e00a6bFcFCE4482Db724DB6bdDe,18,SWI
0x9B621EbE277FBdc3C6764E98A7b699aA6dF0A069,18,Aero
0x91c415FEcD651F11D24aC4b72Ed08dbEb9868D43,18,GDX
0x04eF03bbE903ac14A1D0Ab5D282CEce662a280eb,18,SHEPE
0xeC32f3A868FCA980eE008F7Dae64bB0Aa256dffC,18,tip
0x37f44F73E34EFacD244Bf798e638D9E88434B90A,18,SLC
0x97edcbd1BFB0d3EDd809E48dE615f9eFFf6B7e64,18,sent
0x6F5fdAe4676eb2d09aF355dda466f3D1D326dBD0,18,poor
0x13a7F090D46C74acBA98c51786a5c46eD9A474F0,18,SCM
0x2140Ea50bc3B6Ac3971F9e9Ea93A1442665670e4,18,NFTE
0xB44DD7B34591de89414aa01d291A9E624682f1CC,18,LUSD
0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,6,USD+
0x2F0b4300074aFC01726262d4cc9c1D2619d7297a,18,wUSK
0x0018D96C579121a94307249d47F053E2D687b5e7,18,MVX
0x93F4d0ab6a8B4271f4a28Db399b5E30612D21116,18,STONE
0x1bE3735Dd0C0Eb229fB11094B6c277192349EBbf,18,LUBE
0xAAAac83751090C6ea42379626435f805DDF54DC8,18,NILE
0x32226588378236Fd0c7c4053999F88aC0e5cAc77,18,A
0x246c82fD3798Af4cc38973c429C18e807016a4BD,18,TM
0x02e47D464c3bB564964fce162e6c8F38eA744f5a,18,TV
0x0D1E753a25eBda689453309112904807625bEFBe,18,Cake
0x4Fa0dE5d9217722A37247808c08Cde1C976879b9,18,LUCIA
0x41b94c5867f7F6217C9a30520Cb3e793B1ee1b97,6,axlTIA
0x2314342912d9968fd3B40a542Bdb1fC6b918f35E,18,$MENDI
0x8cE74e606481BBC7078aF4781f9eB67afC85a0Ce,18,stETH
0x0A224Fa31903Bd0AF7b985DD7c07f6806C4b81a6,18,ZOOMER
0xf1E11408b29611c03E242244A3f37ACF66C2e3fe,18,LEDG
0xcc22F6AA610D1b2a0e89EF228079cB3e1831b1D1,18,LVC
0x21d624c846725ABe1e1e7d662E9fB274999009Aa,18,CRYSTAL
0x617FeED96d21F938Da4e725e8D460af6De2FaFe0,18,Wrapped BTC
0x808d7c71ad2ba3FA531b068a2417C63106BC0949,18,STG
0xC935B31C345D59A2396F7fEaC277FC1C981abC38,18,LNU
0x1C7F152e3dB82F92C0e4446A2922975E5d0eFCfE,18,SCB
0x3652Fc6EDcbD76161b8554388867d3dAb65eCA93,18,B
0x7e7679d1aBd9B3508E2A4924664Bbd1533F4ea64,18,LATER
0x43E8809ea748EFf3204ee01F08872F063e44065f,18,MENDI
0x2Fab0952449378DfdF4625fE37F9603011F189ab,18,LINE
0xfa1E8B0E8ef1C5F978C2885053D706cFB5e35822,18,NOW
0xF2B1745E560df1c0991BD9e7312F07b690FCf844,18,LIMEME
0x1eB8266C13Fa1b7134E0e72eb6D182738B3A75A2,18,BLS
0x1a51b19CE03dbE0Cb44C1528E34a7EDD7771E9Af,18,LYNX
0x616B5d07B4f73Ae7ebd236D75C26bf313483372c,18,LOYO
