address,decimals,symbol
0xfBeC518FCCE398DDF467451b3E22dE8C47F15026,18,WAGMI
0x51cfe5b1E764dC253F4c8C1f19a081fF4C3517eD,18,MINU
0xD2B4C9B0d70e3Da1fBDD98f469bD02E77E12FC79,18,AUSD
0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,18,WETH
0x6A3b0eb5b57C9a4F5772fc900dAE427E65f8C1a5,18,CTT
0x7CBF716aA9a6114281188867572Ac87586E4abf2,18,STUSD
0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,18,WMNT
0xab575258d37EaA5C8956EfABe71F4eE8F6397cF3,18,MUSD
0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,6,USDC
0x201EBa5CC46D216Ce6DC03F6a759e8E766e956aE,6,USDT
0x5a093a9c4f440c6b105F0AF7f7C4f1fBE45567f9,18,STRAT
0xC1E0C8C30F251A07a894609616580ad2CEb547F2,18,CLEO
0x029d924928888697d3F3d169018d9d98d9f0d6B4,18,MUTO
0x779f4E5fB773E17Bc8E809F4ef1aBb140861159a,18,KTC
0x26a6b0dcdCfb981362aFA56D581e4A7dBA3Be140,18,PUFF
0x4515A45337F461A11Ff0FE8aBF3c606AE5dC00c9,18,MOE
0x25356aeca4210eF7553140edb9b8026089E49396,18,LEND
0x5eCDB76feda945DC71F7D9ce62dFe7EaFEfFFAb4,18,MINTY
0xDeadDeAddeAddEAddeadDEaDDEAdDeaDDeAD0000,18,MNT
0x74ccbe53F77b08632ce0CB91D3A545bF6B8E0979,18,BOMB
0x8FE7176F0BF63358ad9490fd24Ac0bdB4Dac33a8,6,USDLR
0x5bE26527e817998A7206475496fDE1E68957c5A6,18,USDY
0xcDA86A272531e8640cD7F1a92c01839911B90bb0,18,METH
0x981Bd9F77c8AAFC14EBC86769503f86A3CC29aF5,18,TAROT
0x05F41F99E6c72511F157674c6e43Eda2A2e599A0,18,USK
0xEB466342C4d449BC9f53A865D5Cb90586f405215,6,AXLUSDC
0x872952d3c1Caf944852c5ADDa65633F1Ef218A26,18,LQDX
0x60D01EC2D5E98Ac51C8B4cF84DfCCE98D527c747,18,IZI
0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,18,JOE
0x527856315a4bCD2F428EA7fA05ea251f7e96A50A,18,CDFI
0x45e442E456b8f2f247b7d7b69f1E6585e3ea856D,18,PUL
0xc0b324D11fF615A97a2295337F29bd2C226b353d,18,MONA
0xed17F8559A6441819542FE86A100886388e9BB52,18,MENTOS
0x0764769a9EcACA495AEBBC0aaa15b09085e11642,18,DOG
0x554388eC984278A3c5BFF09E6192C20CdFCA9F29,18,UAHM
0x482417B8D711Cf0f2209D6D96129Cb421BA42cCB,18,BUTTER
0xB8Aa7b68BeE18f9Ea7121cC033aFba103918B083,18,YUUY
0x5AD121982d609E3D7fC6e178b39f5bf7ED0A4053,18,ROR
0x4E466Be172c2Ebf18a91EAeAd0Eb5BCc10c0C0F7,18,X
0x556278e392883D37E9696A4c5Af8c7000b2C1b09,18,SILKROAD
0xD709C7999cF4691e40EC561180898930EeDE9af0,18,BenZ
0x9a86dab7DC3C4Ef5699CDD89c328D85364530CA3,18,MMOON
0x5145B147557730A1F916581f19537fCE6b5d3717,18,MBETS
0xCAbAE6f6Ea1ecaB08Ad02fE02ce9A44F09aebfA2,8,WBTC
0xa686E201cBb3B6a52192951cacAe6f2f619d55A2,18,RB
0x5Ad2272824da30F1369F443FDB24da70245d18f5,18,hic
0xd29B5440cF333BE6dA6F4981faAa7C875F6542E1,18,SMEAGOL
0x8359Ba863bc594e86C5190Fdc4014563AeEA34BB,18,COM
0xDE90f835cd39DeB2d06fA1daC1e9f049217e6f22,18,RB1
0x411C318619c14773b7ab5C8dB3Ab53D1010d6c38,18,WHEN
0x610edB15fE7F0ec96B234ce08106CdBB16DfBE70,18,AIR
0x8d91E7C2b145E83822434c08AB9c57344A7B35bE,18,RB1
0x97174506AafcC846A40832719bD8899a588Bd05c,18,RealBenZ
0x0776a0f854551686d4120C7f33d101d383C176C5,18,$realbenz
0x4b32d6559Ce875e759469e08DDd842aD09Bd84A4,18,CNW
0x06CDB69B6c1d376b1D41bFBB956D49dB0F87542b,1,MAPE
0x42dA495caF582e2722F9EBeB1AE8C977c2e870d7,18,Insite
0x5773Df3732769bea2944f7E057B931405d8a9018,18,BYT
0x3E173b825ADEeF9661920B91A8d50B075Ad51bA5,18,NFTE
0x0894Ad0F8Ac029d4cb8557406497D206E8261702,18,TWW
0x6Ff08aaDafbDbFc6508be207764345aA51cF5299,18,Flork
0x22f60b421190302097D08445C94c404c6801eC53,18,MKT
0x35484aaDB58ce97e7fdDAA28432095cf39958aA8,18,CKT
0xdFd46ecCc506b22eF281678C5e279216a5831776,18,Arj
0xEDa53383c954Afa2aC7BDe8BB2Da879B3081e615,18,qui
0x1Ea4E2D2D935E81EC8B5E356FFC0b97945fE6544,18,bno
0x88F2cabb8383687C19e2d093D1eDFEB8fbdd01B7,18,MDC
0xaCE06325AD4Ee36b621445331caC216b0684551a,18,WW
0xC7aA1b61FF3043bEDd9EC7142285b3036B5D53Ce,18,Mantle Drone
0x8200e8EF2147B665Dd959F791e4D0FB7fAA47E67,18,IQTEST
0xb20E1AbA022a7AdbC5e8b49DB618A1f57d4dA361,18,HZ
0xe0269Fc5cc76E6fb304c5aeCdBA12Fd591E789a6,18,SERGS
0x90d2b2b380c693850343A13004Fe2bE9F626B772,15,LENAM
0xa4d4D1070b1604a8E5Fc59351231C80d967c02De,18,VALIDOL
0xCf3277c9e0DF54a6D263A60A0F7B034f34d0FffA,18,VSXD
0x5a69eFd7C0cb5ea13670E61FC338Ef4d096ecF5C,18,VENS
0x71f40A6869390cDaa0f6320f7568357Cc8d39c95,18,TOTO
0x827B6E13DfD632760D7cA737b441962B0D9085f4,18,WSM
0x26d182f06B8E3b26cF0FcF1bE1745835313d7252,10,SCNDLST
0x911091380aE20e501FDd91C143c6aBeb4BB5Db4A,18,t-USDY
0x000496815228524924555e49537aD59590C3c90A,18,TRX
0x8F7348BF3E6c4d324D60023fb8CF51B8fC37Ca62,18,SHR
0xC1DB3Ba4B6222BCB1e9B755984469ad88fb42C42,18,ANUS
0x8dfDC7Ef190549A8Efe2476e1C6547cdA9d0dEc9,18,CHILL
0x8309Bc8BB43fB54dB02DA7d8bf87192355532829,18,SLUSH
0x5330A61711De1f35745fBBac608e6aAAC7D5d47F,18,DUSD(fork)
0x460947cb831771DB790c8f4fEA76DD33a66d153d,18,SDL
0x2eBAcEBefF4A9A1D64df518C3cE9DFE76a27c1A7,18,t-USDY
0x99ba27B339e15f3547710926cE9074EFA3874adB,18,SML
0xd882fA1c026f796BC548Bc22D1e1049FDA386D2E,18,MAM
0xB377C15fB2763c2Db36876462DAb344c4c20b546,18,SCMT
0x60163D35494f2a9Db815F78299aBbb5c99f0193C,18,TEST
0xb829b68f57CC546dA7E5806A929e53bE32a4625D,18,axlETH
0x08D73E70c78ebD3F4975361020162fEf389994f8,18,lq
0x05539F021b66Fd01d1FB1ff8E167CdD09bf7c2D0,18,BRZ
0x00005667Ad0519f46BEb16f8A19654E4cd99DEc6,18,TK1
0x1556790A8C5211FccE79688FDE125E192f316bc5,18,MUSK
0x1267607d81DB88A1ACf7cf9a92652774c0a11be1,6,TK1
0x7facfd6970fAEe51276Eb2240FA02cDAC19462A1,18,Weka
0xd27B18915e7acc8FD6Ac75DB6766a80f8D2f5729,18,PENDLE
0x29E408BD90212FA8cbFbeE2e4ad63F0374dAeA62,18,POPPAT
0x79dD360D18a283528FEA2A89E2A2451bBfe11443,18,MPEPE
0x8731d54E9D02c286767d56ac03e8037C07e01e98,18,STG
0xD0bf5c44FB24151879eAaDB39a143C1EefcB723B,18,TK0
0x0F93955d4894D5Fb3DC974Ae0208028ecC850Cf8,18,MRCS
0xCbc7e212881BBe287316c375C99B4080E193160B,18,DRAKY
0xB1334C1224ddFC1C637EE07845FfC305E11D24E1,18,MINU
0x2559288588FdC3c5f6EbfA10970E9b407B2f20dF,18,BITDAO
0x3C91Ab1E707A58Ff51dc150CEf756D7FB2335Ce4,18,MUFA
0x18437b9B152a2dcA5CC8967b2332791023d97B63,18,GUNGUN
0xE449bF38E417b32245dC27552d8de8A733e830d5,18,LIZ
0x878C1931ABA8fd91b4572EdE169A9fD58b73552e,18,MANNY
0x894134a25a5faC1c2C26F1d8fBf05111a3CB9487,18,GRAI
0x5092562cc7764319EEAA972530df741096D2Fcb5,18,3mUSD
0xE8Ec527fc10fBA1c147e4162B96C2A39D9813ac1,18,VaR
0x8832e188BCaD597b07feE633C9fbA0Fc61345C4C,18,GUNGUN
0x283099DcfdE57b6976D6577BcE607caF8BC5E1BE,18,MZILLA
0xAC484e0407f79de1038374AEFC29fb66b56CCebF,5,MINTY
0x7ae78B1F2E12b681342394bebA89308dE8c55B78,18,TFS
0x88ff9ea66C155BD8E522D8262f5B8497E405B39a,18,BBONK
0xD4DbAD1d9eCD3ebe675516a5dEAaDb5C2A0C8b6B,18,CRACK
0x217B4382a1De262C0FBa97C1B8378904B4a25e4D,18,$MDragon
0xf3C9084aF3BdD9AaED9f705bBBc717D2d6Dfc685,18,PUFF
0xD7782b99671DD23203eBd4584FC71cf2B3dbB111,18,mShards
0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,18,USDe
0xb1f22931B434DcC3cd9Ed2c2B8860A442f08ca9E,18,BITCOIN
0xd305e3d9E24D0CA1ff56ed43A2bF4C58Bb4De57B,18,aETH
0x6E0224C22effde0bBaF056962B29b0D233F44142,18,MT ETH
0xEcc68d0451E20292406967Fe7C04280E5238Ac7D,18,frxETH
0x406Cde76a3fD20e48bc1E0F60651e60Ae204B040,18,axlFRAX
0x08CB138edF95e192CdF3CBd4025CB20B74066E5d,18,Man Mog
0x8b1f5ec3FA18CA8366dE7CEE9205b2D8e7B8450d,18,BMT
0x49397aC9CB061152B770B1D274a5682155F20099,18,SHIB
0x81566c49aF287FCc5f7a4559b1B8008ffF2Af82F,6,USDT
0x2f08A4be288cCdE48020b40Fa51Fbf8BF0d8007a,18,SFARM
0x050A0789b3b5Ff6fE33E4A6727da9f4546E94804,18,MEF
0x35Ac14768Cd1a05aCC34B579C5D72e13e720AE3C,18,mPEPE
0x73C57c501f9E40a9C664D9Fb8D39536301b386e1,18,MOGE
0xC7352022A8b3c8966321B2AA839664ee0bc72B6a,6,USDC
0x813f8305660ac139F0652E6209Cd84E620807c81,18,DOGLE
0x87BE4576102d0C022CF3357a95843CBfe1B428b5,18,Mantle
