address,decimals,symbol
0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18,ETH
0x1CeF2d62aF4cd26673C7416957CC4Ec619A696a7,18,DTORO
0xc5b001DC33727F8F26880B184090D3E252470D45,18,ERN
0x5Ad323D764301E057614eDb0449f470d68EA9485,0,SIAS
0xa430A427bd00210506589906a71B54d6C256CEdb,18,EXAOP
0xe64B4eb5Eec6343887C4683dA31F0cA62ea39cE3,0,BEES
0x61BAADcF22d2565B0F471b291C475db5555e0b76,18,AELIN
0x81C9A7B55A4df39A9B7B5F781ec0e53539694873,6,EXAUSDC
0x8B21e9b7dAF2c4325bf3D18c1BeB79A347fE902A,18,COLLAB
0xc3864f98f2a61A7cAeb95b039D031b4E2f55e0e9,18,OPENX
0x4200000000000000000000000000000000000042,18,OP
0xEd9B52E6D2DF4ad9FC258254e1E5ef5Ad0B3cA3C,0,FDOS
0x9560e827aF36c94D2Ac33a39bCE1Fe78631088Db,18,VELO
0x065399a1e5522Af1c9044c18CE60EC70D64d74a1,0,FNLS
0x8fB94E08BC984497Aaaf1a545ED455bE89F8c675,0,TVPLS
0x2dAD3a13ef0C6366220f989157009e501e7938F8,18,EXTRA
0x7F5c764cBc14f9669B88837ca1490cCa17c31607,6,USDCE
0xc02b55bB2Fe3643E1955b13515396cE23B110f80,0,AXRAS
0xA72F7df6c1454096387DBB74F70B3Dac4f0A61F5,0,CAS
0xE4d8701C69b3B94A620ff048e4226C895b67b2c0,18,MINE
0x6d80113e533a2C0fe82EaBD35f1875DcEA89Ea97,18,ASUSD
0x29Cb69D4780B53c1e5CD4D2B817142D2e9890715,18,PWETH
0xd6c67ff71a82f1D994d94fA01295467d273D7324,0,DDCS
0x3b08fcd15280e7B5A6e404c4abb87F7C774D1B2e,18,OVN
0xcdB4bB51801A1F399d4402c61bC098a72c382E65,18,OPX
0x071682832D213638f8eda67a873262e581a4006D,0,VRGNS
0x0D82b5d3a8420c285c6d353a6BDc30d164bB50f0,0,SPOS
0xE3B3a464ee575E8E25D2508918383b89c832f275,6,PUSDCE
0xbf0c7ccB143126C1bE90a426f676f5cb313956d9,18,TEM
0xb532178708814F0c174B29B991D2b355106Afbc3,18,AST
0x10B3667304130eCc9C972008459249E8141CeD97,0,CFES
0x3eE6107d9C93955acBb3f39871D32B02F82B78AB,18,STERN
0x7Da25Bc4cFAed3F29414C6779676e53B19a356f5,18,KOKO
0x970D50d09F3a656b43E11B0D45241a84e3a6e011,18,DAI+
0x513c7E3a9c69cA3e22550eF58AC1C0088e918FFf,18,AOP
