id,cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,tkn0_balance,tkn1_balance,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,sqrt_price_q96,tick,tick_spacing,liquidity,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol
1,340282366920938463463374607431768211457,2023-05-03 17:58:01.525631,17181818,carbon_v1 ETH-EEeE/DAI-1d0F None,ETH-EEeE/DAI-1d0F,carbon_v1,0.0,0.0,,,1000000000000000,1000000000000000,0.0,6382340776412.0,0,0,0.0,1875443170982464.0,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,0x6B175474E89094C44Da98b954EedeAC495271d0F,ETH-EEeE,DAI-1d0F,18,18,6,ETH,DAI
2,680564733841876926926749214863536422914,2023-05-03 17:58:02.284832,17181818,carbon_v1 ETH-EEeE/stETH-fE84 None,ETH-EEeE/stETH-fE84,carbon_v1,0.0,0.0,,,81273295119446689,79321294126956528,0.0,280078069940593.0,40028829792356263,2031521002415079,0.0,280064065686981.0,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,ETH-EEeE,stETH-fE84,18,18,6,ETH,stETH
3,680564733841876926926749214863536422967,2023-05-03 17:58:02.297098,17181818,carbon_v1 stETH-fE84/ETH-EEeE None,stETH-fE84/ETH-EEeE,carbon_v1,0.0,0.0,,,0,0,4695920507737.0,274691450305115.0,0,0,2843363648269.0,277220702038712.0,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,stETH-fE84,ETH-EEeE,18,18,6,stETH,ETH
4,1020847100762815390390123822295304634371,2023-05-03 17:58:03.773714,17181818,carbon_v1 USDC-eB48/USDT-1ec7 None,USDC-eB48/USDT-1ec7,carbon_v1,0.0,0.0,,,50149505,50149505,0.0,280773917149557.0,70000000,50100001,0.0,280770407453657.0,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDC-eB48,USDT-1ec7,6,6,6,USDC,USDT
5,1020847100762815390390123822295304634391,2023-05-03 17:58:03.781903,17181818,carbon_v1 USDC-eB48/USDT-1ec7 None,USDC-eB48/USDT-1ec7,carbon_v1,0.0,0.0,,,500000000,494996523,140779742165.0,281432764961555.0,505000000,505000000,126755673936.0,281207448346389.0,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDC-eB48,USDT-1ec7,6,6,6,USDC,USDT
6,1361129467683753853853498429727072845828,2023-05-03 17:58:03.793835,17181818,carbon_v1 USDC-eB48/DAI-1d0F None,USDC-eB48/DAI-1d0F,carbon_v1,0.0,0.0,,,20000000,20000000,0.0,281334344.0,30000000000000000000,30000000000000000000,0.0,5897800738913900.0,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x6B175474E89094C44Da98b954EedeAC495271d0F,USDC-eB48,DAI-1d0F,6,18,6,USDC,DAI
7,1701411834604692317316873037158841057285,2023-05-03 17:58:03.805427,17181818,carbon_v1 ETH-EEeE/USDC-eB48 None,ETH-EEeE/USDC-eB48,carbon_v1,0.0,0.0,,,6039951546952498,6039951546952498,0.0,4409572391052980.0,11717506,0,0.0,12397686690.0,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,ETH-EEeE,USDC-eB48,18,6,6,ETH,USDC
8,1701411834604692317316873037158841057292,2023-05-03 17:58:03.81174,17181818,carbon_v1 ETH-EEeE/USDC-eB48 None,ETH-EEeE/USDC-eB48,carbon_v1,0.0,0.0,,,16386958418561177,16386958418561177,2684113799954624.0,4411844567835374.0,18000000,6141325,32676704.0,12106696520.0,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,ETH-EEeE,USDC-eB48,18,6,6,ETH,USDC
9,1701411834604692317316873037158841057296,2023-05-03 17:58:03.81796,17181818,carbon_v1 ETH-EEeE/USDC-eB48 None,ETH-EEeE/USDC-eB48,carbon_v1,0.0,0.0,,,10350062586152012397,10350062586152012397,0.0,4416648363926356.0,10005000000,7926715,0.0,12365692607.0,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,ETH-EEeE,USDC-eB48,18,6,6,ETH,USDC
10,1701411834604692317316873037158841057299,2023-05-03 17:58:03.826269,17181818,carbon_v1 ETH-EEeE/USDC-eB48 None,ETH-EEeE/USDC-eB48,carbon_v1,0.0,0.0,,,26117229020994980,26117229020994980,2721923874144320.0,4414201427359729.0,50000000,0,93278858.0,12269209786.0,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,ETH-EEeE,USDC-eB48,18,6,6,ETH,USDC
