cid,k,x,x_act,y_act,pair,fee,descr,params
1361129467683753853853498429727072845830,87477608.12816145,15530.512958388825,15530.512958388825,5632.628385330332,BNT-FF1C/xSUSHI-4272,0.003,bancor_v3 BNT-FF1C/xSUSHI-4272 0.003,{'exchange': 'bancor_v3'}
1361129467683753853853498429727072845831,1361801819.9616005,17352.540860091816,17352.540860091816,78478.5254759743,BNT-FF1C/ALPHA-0975,0.003,bancor_v3 BNT-FF1C/ALPHA-0975 0.003,{'exchange': 'bancor_v3'}
1361129467683753853853498429727072845832,3636026233165.991,1699028.232452396,1699028.232452396,2140062.2801409904,BNT-FF1C/ENJ-3B9c,0.003,bancor_v3 BNT-FF1C/ENJ-3B9c 0.003,{'exchange': 'bancor_v3'}
1361129467683753853853498429727072845833,3976409802.205601,31128.913268023825,31128.913268023825,127740.07778454124,BNT-FF1C/CHZ-b4AF,0.003,bancor_v3 BNT-FF1C/CHZ-b4AF 0.003,{'exchange': 'bancor_v3'}
1361129467683753853853498429727072845834,539853214617.46576,531658.0649393917,531658.0649393917,1015414.3240148315,BNT-FF1C/BAT-87EF,0.003,bancor_v3 BNT-FF1C/BAT-87EF 0.003,{'exchange': 'bancor_v3'}
1361129467683753853853498429727072845835,305737679.10175645,211299.92878334795,211299.92878334795,1446.936971830399,BNT-FF1C/AAVE-DaE9,0.003,bancor_v3 BNT-FF1C/AAVE-DaE9 0.003,{'exchange': 'bancor_v3'}
1361129467683753853853498429727072845836,60006326387.449356,14923609.947592953,14923609.947592953,4020.898870861192,BNT-FF1C/ETH-EEeE,0.003,bancor_v3 BNT-FF1C/ETH-EEeE 0.003,{'exchange': 'bancor_v3'}
1361129467683753853853498429727072845837,74998582397.74333,22779.695119816624,22779.695119816624,3292343.554348109,BNT-FF1C/AMP-95C2,0.003,bancor_v3 BNT-FF1C/AMP-95C2 0.003,{'exchange': 'bancor_v3'}
1361129467683753853853498429727072845838,44053171219909.59,260043.812029169,260043.812029169,169406727.567,BNT-FF1C/DAPP-1649,0.003,bancor_v3 BNT-FF1C/DAPP-1649 0.003,{'exchange': 'bancor_v3'}
1361129467683753853853498429727072845839,10183897389.300335,26226.599793724337,26226.599793724337,388304.1442427928,BNT-FF1C/ANKR-EDD4,0.003,bancor_v3 BNT-FF1C/ANKR-EDD4 0.003,{'exchange': 'bancor_v3'}
