id,name,tkn0_address,tkn1_address,tkn0_key,tkn1_key
1,ETH-EEeE/DAI-1d0F,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,0x6B175474E89094C44Da98b954EedeAC495271d0F,ETH-EEeE,DAI-1d0F
2,ETH-EEeE/stETH-fE84,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,ETH-EEeE,stETH-fE84
3,USDC-eB48/USDT-1ec7,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDC-eB48,USDT-1ec7
4,USDC-eB48/DAI-1d0F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x6B175474E89094C44Da98b954EedeAC495271d0F,USDC-eB48,DAI-1d0F
5,ETH-EEeE/USDC-eB48,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,ETH-EEeE,USDC-eB48
6,DAI-1d0F/USDT-1ec7,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xdAC17F958D2ee523a2206206994597C13D831ec7,DAI-1d0F,USDT-1ec7
7,USDC-eB48/BNT-FF1C,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,USDC-eB48,BNT-FF1C
8,BNT-FF1C/USDC-eB48,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,BNT-FF1C,USDC-eB48
9,ETH-EEeE/USDT-1ec7,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,0xdAC17F958D2ee523a2206206994597C13D831ec7,ETH-EEeE,USDT-1ec7
10,rETH-6393/ETH-EEeE,0xae78736Cd615f374D3085123A210448E74Fc6393,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,rETH-6393,ETH-EEeE
11,ETH-EEeE/BNT-FF1C,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,ETH-EEeE,BNT-FF1C
12,BNT-FF1C/ETH-EEeE,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,BNT-FF1C,ETH-EEeE
13,WBTC-C599/USDC-eB48,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,WBTC-C599,USDC-eB48
14,BNT-FF1C/vBNT-7f94,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x48Fb253446873234F2fEBbF9BdeAA72d9d387f94,BNT-FF1C,vBNT-7f94
15,vBNT-7f94/BNT-FF1C,0x48Fb253446873234F2fEBbF9BdeAA72d9d387f94,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,vBNT-7f94,BNT-FF1C
16,LINK-86CA/USDT-1ec7,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xdAC17F958D2ee523a2206206994597C13D831ec7,LINK-86CA,USDT-1ec7
17,vBNT-7f94/USDC-eB48,0x48Fb253446873234F2fEBbF9BdeAA72d9d387f94,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,vBNT-7f94,USDC-eB48
