id,cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,desc
4558,704,35:29.0,17213345,bancor_v3 BNT-FF1C/ETH-EEeE 0.000,BNT-FF1C/ETH-EEeE,bancor_v3,0,0,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,NaN,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,BNT-FF1C,ETH-EEeE,18,18,2,BNT,ETH,bancor_v3 BNT-FF1C/ETH-EEeE 0.000
4571,720,35:50.0,17213345,bancor_v3 BNT-FF1C/USDC-eB48 0.000,BNT-FF1C/USDC-eB48,bancor_v3,0,0,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,NaN,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,BNT-FF1C,USDC-eB48,18,6,2,BNT,USDC,bancor_v3 BNT-FF1C/USDC-eB48 0.000
4527,742,34:38.1,17213345,bancor_v3 BNT-FF1C/vBNT-7f94 0.000,BNT-FF1C/vBNT-7f94,bancor_v3,0,0,0x48Fb253446873234F2fEBbF9BdeAA72d9d387f94,NaN,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x48Fb253446873234F2fEBbF9BdeAA72d9d387f94,BNT-FF1C,vBNT-7f94,18,18,2,BNT,vBNT,bancor_v3 BNT-FF1C/vBNT-7f94 0.000
2801,e070215dcabe470c820457291d9904fe,07:53.4,17229905,uniswap_v2 PEPE-E35F/WETH-6Cc2 0.003,PEPE-E35F/WETH-6Cc2,uniswap_v2,0.003,0.003,0xbC3126f79d9e9c5C43dA8BBa17E4b185B50639cc,NaN,0x6982508145454Ce325dDbE47a25d4ec3d2311933,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,PEPE-1933,WETH-6Cc2,18,18,3,PEPE,WETH,uniswap_v2 PEPE-E35F/WETH-6Cc2 0.003
1320,0bf53c6c2e514f259b356377ff7abe20,42:18.3,17229777,uniswap_v2 stETH-fE84/WETH-6Cc2 0.003,stETH-fE84/WETH-6Cc2,uniswap_v2,0.003,0.003,0x4028DAAC072e492d34a3Afdbef0ba7e35D8b55C4,NaN,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,stETH-fE84,WETH-6Cc2,18,18,3,stET,WETH,uniswap_v2 stETH-fE84/WETH-6Cc2 0.003
4196,873a7e371be64eb485a3cfee35fe6796,15:05.0,17213345,uniswap_v3 DAI-1d0F/USDC-eB48 3000,DAI-1d0F/USDC-eB48,uniswap_v3,3000,0.003,0xa63b490aA077f541c9d64bFc1Cc0db2a752157b5,NaN,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,DAI-1d0F,USDC-eB48,18,6,4,DAI,USDC,uniswap_v3 DAI-1d0F/USDC-eB48 3000
4050,de1e0609fbe84008b5bed757a21da88e,04:16.9,17213345,uniswap_v3 DAI-1d0F/USDT-1ec7 100,DAI-1d0F/USDT-1ec7,uniswap_v3,100,0.0001,0x48DA0965ab2d2cbf1C17C09cFB5Cbe67Ad5B1406,NaN,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xdAC17F958D2ee523a2206206994597C13D831ec7,DAI-1d0F,USDT-1ec7,18,6,4,DAI,USDT,uniswap_v3 DAI-1d0F/USDT-1ec7 100
3293,644ebe18973a4af2aea93d9401933a67,18:09.2,17229956,uniswap_v3 DAI-1d0F/WETH-6Cc2 10000,DAI-1d0F/WETH-6Cc2,uniswap_v3,10000,0.01,0xa80964C5bBd1A0E95777094420555fead1A26c1e,NaN,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,DAI-1d0F,WETH-6Cc2,18,18,4,DAI,WETH,uniswap_v3 DAI-1d0F/WETH-6Cc2 10000
3962,f0e05bc5af5546cda90e559151505935,57:32.4,17213345,uniswap_v3 LINK-86CA/USDC-eB48 3000,LINK-86CA/USDC-eB48,uniswap_v3,3000,0.003,0xFAD57d2039C21811C8F2B5D5B65308aa99D31559,NaN,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,LINK-86CA,USDC-eB48,18,6,4,LINK,USDC,uniswap_v3 LINK-86CA/USDC-eB48 3000
3046,539a301956344755aef66083984a84b8,12:17.4,17229927,uniswap_v3 LINK-86CA/USDT-1ec7 3000,LINK-86CA/USDT-1ec7,uniswap_v3,3000,0.003,0xac5A2c404EbBa22a869998089AC7893ff4E1F0a7,NaN,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xdAC17F958D2ee523a2206206994597C13D831ec7,LINK-86CA,USDT-1ec7,18,6,4,LINK,USDT,uniswap_v3 LINK-86CA/USDT-1ec7 3000
