id,cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,tkn0_balance,tkn1_balance,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,sqrt_price_q96,tick,tick_spacing,liquidity,address,anchor
5672,10889035741470030830827987437816582766661,2023-06-02 02:45:00.509328,17390181,NaN,JAY-CA6E/USDC-eB48,carbon_v1,0.002,0.002,,,0,0,4155481966138848,5613166202183792,0,0,10938555,537757187,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5673,10889035741470030830827987437816582766659,2023-06-02 02:44:59.081839,17390181,NaN,JAY-CA6E/USDC-eB48,carbon_v1,0.002,0.002,,,0,0,0,5619531847891604,0,0,0,515183796,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5674,10889035741470030830827987437816582766660,2023-06-02 02:44:59.795742,17390181,NaN,JAY-CA6E/USDC-eB48,carbon_v1,0.002,0.002,,,0,0,0,5613166202183792,0,0,0,511324687,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5675,10548753374549092367364612830384814555201,2023-06-02 02:44:58.181869,17390181,NaN,pepecoin-489A/USDC-eB48,carbon_v1,0.002,0.002,,,0,0,0,6667651067822137,0,0,0,39806572,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5676,10208471007628153903901238222953046343738,2023-06-02 02:45:55.378761,17390186,NaN,SMT-7173/ETH-EEeE,carbon_v1,0.002,0.002,,,200000000000000000000000,200000000000000000000000,1619339587886900,2163191935067045,0,0,0,0,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5677,9868188640707215440437863615521278132277,2023-06-02 02:44:57.282109,17390181,NaN,0x0-1AD5/ETH-EEeE,carbon_v1,0.002,0.002,,,5363000000000,359732340414,119127330708,2267453933449,172994615833215240,172994615833215240,1002503361642560,2210109140007279,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5678,17354400712967861636632104979020178784372,2023-06-02 02:49:12.904466,17390201,NaN,MDT-7d26/WETH-6Cc2,carbon_v1,0.002,0.002,,,0,0,0,2472143267719007,363280000000000000,363280000000000000,4391252478,1378940136605,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5679,12250165209153784684681485867543655612490,2023-06-02 02:49:07.268114,17390201,NaN,CRV-cd52/USDC-eB48,carbon_v1,0.002,0.002,,,9998214320035449176736,9998214320035449176736,4735925375135328,5897934990213120,9000000000,1607129,0,267030609,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5680,340282366920938463463374607431768211457,2023-06-02 02:47:50.395054,17390195,NaN,ETH-EEeE/DAI-1d0F,carbon_v1,0.002,0.002,,,1000000000000000,1000000000000000,0,6382340776412,0,0,0,1875443170982464,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5681,6465364971497830805804117541203596017697,2023-06-02 02:49:17.329616,17390202,NaN,TSUKA-69eD/USDC-eB48,carbon_v1,0.002,0.002,,,90007566907608,90007566907608,1295443453270648,2149874333928468,0,0,527260079896,1990328647664,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
