cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,tick_spacing,exchange,strategy_id
,,0,uniswap_v3 WETH-6Cc2/ZZ-55ad 10000,WETH-6Cc2/ZZ-55ad,uniswap_v3,10000.0,0.01,0x16f60256a518e5D1dD9cF2Cefc3d4A601c399574,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xC91a71A1fFA3d8B22ba615BA1B9c01b2BBBf55ad,WETH-6Cc2,ZZ-55ad,18,18,4.0,WETH,ZZ,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/ZVT-Ef5D 3000,WETH-6Cc2/ZVT-Ef5D,uniswap_v3,3000.0,0.003,0x58FCD403610e772d68726b55183Eb958A7581731,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe8A3Bf796cA5a13283ec6B1c5b645B91D7CfEf5D,WETH-6Cc2,ZVT-Ef5D,18,18,,WETH,ZVT,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/ZRX-F498 3000,WETH-6Cc2/ZRX-F498,uniswap_v3,3000.0,0.003,0x14424eEeCbfF345B38187d0B8b749E56FAA68539,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE41d2489571d322189246DaFA5ebDe1F4699F498,WETH-6Cc2,ZRX-F498,18,18,4.0,WETH,ZRX,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/XOY-9e52 3000,WETH-6Cc2/XOY-9e52,uniswap_v3,3000.0,0.003,0x9eA116Bfe1D9d6B106b5028597Fa58cB071764d0,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe9F1d62c671EFe99896492766c0B416bD3FB9e52,WETH-6Cc2,XOY-9e52,18,8,4.0,WETH,XOY,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/XIDR-aa52 3000,WETH-6Cc2/XIDR-aa52,uniswap_v3,3000.0,0.003,0x0F0960C69EFb4627DA97E24aBF6141EAC95F4500,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xebF2096E01455108bAdCbAF86cE30b6e5A72aa52,WETH-6Cc2,XIDR-aa52,18,6,4.0,WETH,XIDR,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/XCUR-86bd 3000,WETH-6Cc2/XCUR-86bd,uniswap_v3,3000.0,0.003,0xAaFaC42f553bBf80862FCe24dac292eEc5173f72,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE1c7E30C42C24582888C758984f6e382096786bd,WETH-6Cc2,XCUR-86bd,18,8,4.0,WETH,XCUR,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/WSTR-12B1 10000,WETH-6Cc2/WSTR-12B1,uniswap_v3,10000.0,0.01,0x7f4a0822A6E3c085df795a8d78ACBcD36F210ebf,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xF0dC76C22139ab22618dDFb498BE1283254612B1,WETH-6Cc2,WSTR-12B1,18,18,4.0,WETH,WSTR,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/WSBC-4Beb 10000,WETH-6Cc2/WSBC-4Beb,uniswap_v3,10000.0,0.01,0x084F19491F9b216868C2A070881f601e7DD4aa65,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE46091dCE9c67691bCf22768bBEe0BC9E20d4Beb,WETH-6Cc2,WSBC-4Beb,18,9,,WETH,WSBC,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/WRLD-7984 10000,WETH-6Cc2/WRLD-7984,uniswap_v3,10000.0,0.01,0x7aD5eC31716e428b69AF4FE3C4fcAA24d452a7d4,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xFF2d6934fb49e3e883Dc03871D081a1C21ad7984,WETH-6Cc2,WRLD-7984,18,18,,WETH,WRLD,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/WRLD-45E9 10000,WETH-6Cc2/WRLD-45E9,uniswap_v3,10000.0,0.01,0xEb5C52e8af57334FaB0b5f3d888990C108545527,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xD5d86FC8d5C0Ea1aC1Ac5Dfab6E529c9967a45E9,WETH-6Cc2,WRLD-45E9,18,18,,WETH,WRLD,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/WINTER-845f 10000,WETH-6Cc2/WINTER-845f,uniswap_v3,10000.0,0.01,0x0275bC3237A295Ad331588D98a6a2FCAD686342D,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xCcbA0b2bc4BAbe4cbFb6bD2f1Edc2A9e86b7845f,WETH-6Cc2,WINTER-845f,18,18,4.0,WETH,WINTER,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/WEB3-e601 3000,WETH-6Cc2/WEB3-e601,uniswap_v3,3000.0,0.003,0x6147C54106dc2e3d7f5d4b5aFD2804F2D30dB0b5,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe8e8486228753E01Dbc222dA262Aa706Bd67e601,WETH-6Cc2,WEB3-e601,18,18,4.0,WETH,WEB3,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/wCFG-34F0 3000,WETH-6Cc2/wCFG-34F0,uniswap_v3,3000.0,0.003,0x6127cC12B45b7A765D6509e191D23Ca97Badd8d1,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc221b7E65FfC80DE234bbB6667aBDd46593D34F0,WETH-6Cc2,wCFG-34F0,18,18,4.0,WETH,wCFG,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/wCFG-34F0 10000,WETH-6Cc2/wCFG-34F0,uniswap_v3,10000.0,0.01,0x05f63dc38bfeb686ca68B9D237b192cB43067Ce0,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc221b7E65FfC80DE234bbB6667aBDd46593D34F0,WETH-6Cc2,wCFG-34F0,18,18,4.0,WETH,wCFG,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/WAMPL-49Ef 3000,WETH-6Cc2/WAMPL-49Ef,uniswap_v3,3000.0,0.003,0x1EeC74d40f6E53F888A5d89ff6Ae2cE0b683Be01,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xEDB171C18cE90B633DB442f2A6F72874093b49Ef,WETH-6Cc2,WAMPL-49Ef,18,18,4.0,WETH,WAMPL,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/WACME-1170 10000,WETH-6Cc2/WACME-1170,uniswap_v3,10000.0,0.01,0xDc6E8DF5D9A3320b20e2f1A012eA2dc69938405f,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xDF4Ef6EE483953fE3B84ABd08C6A060445c01170,WETH-6Cc2,WACME-1170,18,8,4.0,WETH,WACME,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/VRA-7255 3000,WETH-6Cc2/VRA-7255,uniswap_v3,3000.0,0.003,0x98409d8CA9629FBE01Ab1b914EbF304175e384C8,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xF411903cbC70a74d22900a5DE66A2dda66507255,WETH-6Cc2,VRA-7255,18,18,4.0,WETH,VRA,,,,,,,60.0,uniswap_v3,0
