cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,0
0xf8963b4fb6b187c7f8f6a89ae226949755ded8618930b5f35e5de8a62dff8415,05:40.1,0,uniswap_v3 ZZ-55ad/USDT-1ec7 3000,ZZ-55ad/USDT-1ec7,uniswap_v3,3000,0.003,0xF09e5f387b749Cf7eA7C1C3F1eCE69Fb59720cd0,,0xC91a71A1fFA3d8B22ba615BA1B9c01b2BBBf55ad,0xdAC17F958D2ee523a2206206994597C13D831ec7,ZZ-55ad,USDT-1ec7,18,6,4,ZZ,USDT,,,,,,,
0x18d02ec6672326a4e9c7dc436ed7749ec2dc079a208cb7e44430598dbd67cda4,21:04.8,0,uniswap_v3 ZURR-e08D/WETH-6Cc2 10000,ZURR-e08D/WETH-6Cc2,uniswap_v3,10000,0.01,0x1A4048bac9E62049616e3102cC3D854142b37D04,,0x89509aA1D14a8E1E5364Ec4C3B041213bcDbe08D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ZURR-e08D,WETH-6Cc2,18,18,4,ZURR,WETH,,,,,,,
0x11fd5e2ff113c9bc641880bb1af086f1e3163e804f0f9f1ad217ca307c545937,06:16.4,17286646,uniswap_v3 ZENIQ-7233/WETH-6Cc2 3000,ZENIQ-7233/WETH-6Cc2,uniswap_v3,3000,0.003,0x11184bf5937BeB9085b4f070E7B410Be052e37A6,,0x5b52bfB8062Ce664D74bbCd4Cd6DC7Df53Fd7233,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ZENIQ-7233,WETH-6Cc2,18,18,4,ZENIQ,WETH,8:06:05,,,1.34E+22,4.00E+26,-105770,
0xbc9e0778a9a778afcd3a82dfaea7b70fe037a412dc7813f1d3ec849e9c789342,04:35.4,0,uniswap_v3 ZAP-b104/WETH-6Cc2 3000,ZAP-b104/WETH-6Cc2,uniswap_v3,3000,0.003,0xDd0CF265951256a0eB3a927f657959deA4827b6D,,0x6781a0F84c7E9e846DCb84A9a5bd49333067b104,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ZAP-b104,WETH-6Cc2,18,18,4,ZAP,WETH,,,,,,,
0x6b7d0e99a5ec39d7285cdd8095e7325e12e5fb892b83032bd4daeb45d0184456,12:21.4,0,uniswap_v3 XLON-9D58/WETH-6Cc2 100,XLON-9D58/WETH-6Cc2,uniswap_v3,100,0.0001,0xBE133403B57D35b1cdCCD599E210Df63151FF8d8,,0x36ff4DaE0E88113D68B1209e245B0e3Af92E9D58,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,XLON-9D58,WETH-6Cc2,18,18,4,XLON,WETH,,,,,,,
0x94ad301ce1663b8c167fbb70742985b854ccbb0bcb6b025fffe6fbaa37f4116f,17:24.3,0,uniswap_v3 XIV-392C/WETH-6Cc2 3000,XIV-392C/WETH-6Cc2,uniswap_v3,3000,0.003,0xcadff63f2C7b15b85625e8327B89671d4DA86563,,0x44f262622248027f8E2a8Fb1090c4Cf85072392C,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,XIV-392C,WETH-6Cc2,18,18,4,XIV,WETH,,,,,,,
0xe63672276e50f9c6847c08948b5f17c8105a29192d1e335fa0d281f1669fa0fb,18:53.5,0,uniswap_v3 wstETH-2Ca0/rETH-6393 500,wstETH-2Ca0/rETH-6393,uniswap_v3,500,0.0005,0x18319135E02Aa6E02D412C98cCb16af3a0a9CB57,,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,0xae78736Cd615f374D3085123A210448E74Fc6393,wstETH-2Ca0,rETH-6393,18,18,4,wstETH,rETH,,,,,,,
0x4fe6336bac3273955bb73e963a1b12ec80d7c7665141a661592e55657bb5ca48,03:08.4,0,uniswap_v3 WFLOW-3B2b/USDC-eB48 3000,WFLOW-3B2b/USDC-eB48,uniswap_v3,3000,0.003,0xd4292615a8e9EDC07CBA49C1A9CBB93b873A181E,,0x5c147e74D63B1D31AA3Fd78Eb229B65161983B2b,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,WFLOW-3B2b,USDC-eB48,18,6,4,WFLOW,USDC,,,,,,,
0x2ad0c908721f0bb64d35fbab78274ce085ebbb6660e0bde1f2691a3b1bd2ac67,05:49.2,0,uniswap_v3 WETH-6Cc2/SWAP-4EFe 10000,WETH-6Cc2/SWAP-4EFe,uniswap_v3,10000,0.01,0x76D8938c96e8aBfB44db042091131B7e9A63189c,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xCC4304A31d09258b0029eA7FE63d032f52e44EFe,WETH-6Cc2,SWAP-4EFe,18,18,4,WETH,SWAP,,,,,,,
0x6e7255452a29b0af94b1ff99957487beb681bda66bb2a31da1d17db1e1e8b8e5,01:26.9,17285240,uniswap_v3 WETH-6Cc2/sETH2-043A 500,WETH-6Cc2/sETH2-043A,uniswap_v3,500,0.0005,0xDADcF64BAbfb566785f1e9DFC4889C5e593DDdC7,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xFe2e637202056d30016725477c5da089Ab0A043A,WETH-6Cc2,sETH2-043A,18,18,4,WETH,sETH2,8:06:10,,,5.42E+22,7.94E+28,43,
