,key,symbol,name,address,decimals,blockchain
0,$CHAD-c918,$CHAD,$CHAD,0xd2c74DFcc1231877e88031125b93e571e02cc918,9.0,ethereum
1,UT99-6240,UT99,UT99,0xD2ce76Ed05B56B4E75670cF0c7cFD6b464896240,18.0,ethereum
2,ToAI-Fe45,ToAI,ToAI,0xD2Cf2FeBcaee68A0B07e60Ee413B616Ed3d1Fe45,8.0,ethereum
3,TWC-6c52,TWC,TWC,0xD2d492884012cD893A9aCb29d5f33c052b586c52,18.0,ethereum
4,BNTY-9de3,BNTY,BNTY,0xd2d6158683aeE4Cc838067727209a0aAF4359de3,18.0,ethereum
5,✺RUG-6b80,✺RUG,✺RUG,0xD2d8D78087D0E43BC4804B6F946674b2Ee406b80,18.0,ethereum
6,DoraemonInu-C19B,DoraemonInu,DoraemonInu,0xD2d9E0B2942943269D5224E0048Bbc32380aC19B,9.0,ethereum
7,GOBLIN-9c68,GOBLIN,GOBLIN,0xd2DcF249C2447967d18591f4B8998A7097A49c68,9.0,ethereum
8,BONDLY-8a85,BONDLY,BONDLY,0xD2dDa223b2617cB616c1580db421e4cFAe6a8a85,18.0,ethereum
9,ZEPAR-c37E,ZEPAR,ZEPAR,0xd2dea77460eeA04BfD2b1Ac0A9A5fb910334c37E,8.0,ethereum
10,SAAVE-4076,SAAVE,SAAVE,0xd2dF355C19471c8bd7D8A3aa27Ff4e26A21b4076,18.0,ethereum
11,MISSOR-97b6,MISSOR,MISSOR,0xd2e02db99D9C5acf5039A82D1920f1Aa205d97b6,9.0,ethereum
12,$PRICE-2b30,$PRICE,$PRICE,0xd2e8E9Af9872D73366c46FafC71d46E35A502b30,9.0,ethereum
13,Kaido-C092,Kaido,Kaido,0xD2Eb638D6C8737fc73a3A00D3cA448fC56c0C092,9.0,ethereum
14,ICA-b9E5,ICA,ICA,0xd2F29748F8698606dca9f48b8967241b595ab9E5,18.0,ethereum
15,XAPE-555C,XAPE,XAPE,0xd2f9d77984a2e5dc899a40c5D257C3A02750555C,8.0,ethereum
16,TSYRANT-D5CD,TSYRANT,TSYRANT,0xD2fdDE470Ddca6892080a5aEe31C9191FE4bD5CD,18.0,ethereum
17,LARRY-8dc2,LARRY,LARRY,0xd30FA12c2e0C85BA6D5683113df2d1cEeDa78dc2,18.0,ethereum
18,MANAGARM-29B0,MANAGARM,MANAGARM,0xD31088Af1D043480E59ff3F17C3Eb7f387CA29B0,9.0,ethereum
