,token0,amt0,type0,token1,amt1,type1,total
0,DAI,0,,ETH,0,TKN,1
1,STETH,3,USD,ETH,0,TKN,2
2,USDC,544,USD,USDT,557,USD,4
3,DAI,30,USD,USDC,19,USD,2
4,USDC,16661,USD,ETH,19,TKN,17
5,DAI,20,USD,USDT,20,USD,2
6,BNT,17456,USD,USDC,0,,2
7,USDT,10,USD,ETH,0,,2
8,RETH,0,,ETH,2,TKN,1
9,PEPE,0,,USDC,0,,0
10,BNT,4079,USD,ETH,0,TKN,9
11,WBTC,0,TKN,USDC,491,USD,2
12,BNT,311,USD,VBNT,5090,USD,9
13,LINK,239,USD,USDT,0,USD,2
14,VBNT,1427,USD,USDC,0,,1
15,OHM,0,,USDC,0,,0
16,XCHF,1243,TKN,RPL,0,,1
17,MATIC,169,USD,ARB,13,USD,2
18,USDC,0,,TSUKA,46567,TKN,1
19,LBR,0,,ETH,0,TKN,1
20,PEPE,8460463,TKN,ETH,0,,2
21,USDC,0,,LYXE,100099,USD,1
22,RAIL,0,,ETH,0,,0
23,HRP,0,,ETH,0,,0
24,SILO,0,,USDC,0,,0
25,LINK,2160,USD,USDC,0,,1
26,WBTC,0,TKN,ETH,5,TKN,2
27,WBTC,0,TKN,USDT,0,,1
28,0X0,359,TKN,ETH,0,TKN,2
29,SMT,16406,USD,ETH,0,,1
30,USDC,1,USD,CRV,9998,TKN,2
