id,key,symbol,name,address,decimals
1,ETH-EEeE,ETH,Ethereum,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18
2,DAI-1d0F,DAI,Dai Stablecoin,0x6B175474E89094C44Da98b954EedeAC495271d0F,18
3,stETH-fE84,stETH,Liquid staked Ether 2.0,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,18
4,USDC-eB48,USDC,USD Coin,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
5,USDT-1ec7,USDT,Tether USD,0xdAC17F958D2ee523a2206206994597C13D831ec7,6
6,BNT-FF1C,BNT,Bancor Network Token,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,18
7,rETH-6393,rETH,Rocket Pool ETH,0xae78736Cd615f374D3085123A210448E74Fc6393,18
8,WBTC-C599,WBTC,Wrapped BTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,8
9,vBNT-7f94,vBNT,Bancor Governance Token,0x48Fb253446873234F2fEBbF9BdeAA72d9d387f94,18
10,LINK-86CA,LINK,ChainLink Token,0x514910771AF9Ca656af840dff83E8264EcF986CA,18
11,RPL-A51f,RPL,Rocket Pool Protocol,0xD33526068D116cE69F19A9ee46F0bd304F21A51f,18
12,XCHF-fc08,XCHF,CryptoFranc,0xB4272071eCAdd69d933AdcD19cA99fe80664fc08,18
13,MATIC-eBB0,MATIC,Matic Token,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,18
14,ARB-4ad1,ARB,Arbitrum,0xB50721BCf8d664c30412Cfbc6cf7a15145234ad1,18
15,TSUKA-69eD,TSUKA,Dejitaru Tsuka,0xc5fB36dd2fb59d3B98dEfF88425a3F425Ee469eD,9
16,LBR-aCcA,LBR,LBR,0xC98835e792553e505AE46e73a6fD27a23985aCcA,18
17,PEPE-1933,PEPE,Pepe,0x6982508145454Ce325dDbE47a25d4ec3d2311933,18
18,LYXe-be6D,LYXe,LUKSO Token,0xA8b919680258d369114910511cc87595aec0be6D,18
19,HRP-12Bf,HRP,HARPOON,0xbd15Ad921e1B480209AF549874a2fCb80DC312Bf,18
20,Silo-B1f8,Silo,Silo Governance Token,0x6f80310CA7F2C654691D1383149Fa1A57d8AB1f8,18
21,0x0-1AD5,0x0,0x0.ai: AI Smart Contract Auditor,0x5a3e6A77ba2f983eC0d371ea3B475F8Bc0811AD5,9
22,MFG-0312,MFG,SyncFab Smart Manufacturing Blockchain,0x6710c63432A2De02954fc0f851db07146a6c0312,18
23,UOS-5C8c,UOS,Ultra Token,0xD13c7342e1ef687C5ad21b27c2b65D772cAb5C8c,4
24,AAVE-DaE9,AAVE,Aave Token,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,18
25,BAT-87EF,BAT,Basic Attention Token,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,18
26,CHZ-b4AF,CHZ,chiliZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,18
27,ENJ-3B9c,ENJ,Enjin Coin,0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c,18
28,ENS-9D72,ENS,Ethereum Name Service,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,18
