id,cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,tkn0_balance,tkn1_balance,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,sqrt_price_q96,tick,tick_spacing,liquidity,address,anchor,tkn0,tkn1,tkn0_address,tkn0_decimals,tkn1_address,tkn1_decimals
0,340282366920938463463374607431768211457,2023-04-22 22:43:15.070797,17104931,carbon_v1 ETH-EEeE/DAI-1d0F None,ETH-EEeE/DAI-1d0F,carbon_v1,0,,,1000000000000000,1000000000000000,0,6382340776412,0,0,0,1875443170982464,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,ETH-EEeE,DAI-1d0F,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18,0x6B175474E89094C44Da98b954EedeAC495271d0F,18
1,680564733841876926926749214863536422914,2023-04-22 22:43:16.109425,17104931,carbon_v1 ETH-EEeE/stETH-fE84 None,ETH-EEeE/stETH-fE84,carbon_v1,0,,,81273295119446689,79321294126956528,0,280078069940593,40028829792356263,2031521002415079,0,280064065686981,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,ETH-EEeE,stETH-fE84,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,18
2,1020847100762815390390123822295304634371,2023-04-22 22:43:17.956369,17104931,carbon_v1 USDC-eB48/USDT-1ec7 None,USDC-eB48/USDT-1ec7,carbon_v1,0,,,50149505,50149505,0,280773917149557,70000000,50100001,0,280770407453657,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,USDC-eB48,USDT-1ec7,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,0xdAC17F958D2ee523a2206206994597C13D831ec7,6
3,1020847100762815390390123822295304634377,2023-04-22 22:43:17.961869,17104931,carbon_v1 USDC-eB48/USDT-1ec7 None,USDC-eB48/USDT-1ec7,carbon_v1,0,,,10000000,10000000,0,281334344687532,10000000,10000000,0,281334204020325,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,USDC-eB48,USDT-1ec7,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,0xdAC17F958D2ee523a2206206994597C13D831ec7,6
4,1020847100762815390390123822295304634391,2023-04-22 22:43:17.965944,17104931,carbon_v1 USDC-eB48/USDT-1ec7 None,USDC-eB48/USDT-1ec7,carbon_v1,0,,,500000000,500000000,140779742165,281432764961555,500000000,500000000,126755673936,281207448346389,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,USDC-eB48,USDT-1ec7,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,0xdAC17F958D2ee523a2206206994597C13D831ec7,6
5,1361129467683753853853498429727072845828,2023-04-22 22:43:17.972174,17104931,carbon_v1 USDC-eB48/DAI-1d0F None,USDC-eB48/DAI-1d0F,carbon_v1,0,,,20000000,20000000,0,281334344,30000000000000000000,30000000000000000000,0,5897800738913900,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,USDC-eB48,DAI-1d0F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,0x6B175474E89094C44Da98b954EedeAC495271d0F,18
6,1701411834604692317316873037158841057285,2023-04-22 22:43:17.979641,17104931,carbon_v1 ETH-EEeE/USDC-eB48 None,ETH-EEeE/USDC-eB48,carbon_v1,0,,,6039951546952498,6039951546952498,0,4409572391052980,11717506,0,0,12397686690,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,ETH-EEeE,USDC-eB48,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
7,1701411834604692317316873037158841057292,2023-04-22 22:43:17.98332,17104931,carbon_v1 ETH-EEeE/USDC-eB48 None,ETH-EEeE/USDC-eB48,carbon_v1,0,,,10000000000000000,10000000000000000,2684113799954624,4411844567835374,18000000,18000000,32676704,12106696520,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,ETH-EEeE,USDC-eB48,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
8,1701411834604692317316873037158841057296,2023-04-22 22:43:17.987247,17104931,carbon_v1 ETH-EEeE/USDC-eB48 None,ETH-EEeE/USDC-eB48,carbon_v1,0,,,10346995945888944953,10346995945888944953,0,4416648363926356,10005000000,1887107,0,12365692607,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,ETH-EEeE,USDC-eB48,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
9,1701411834604692317316873037158841057299,2023-04-22 22:43:17.991574,17104931,carbon_v1 ETH-EEeE/USDC-eB48 None,ETH-EEeE/USDC-eB48,carbon_v1,0,,,0,0,2721923874144320,4414201427359729,50000000,50000000,93278858,12269209786,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,ETH-EEeE,USDC-eB48,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
