func_name,ncalls,tottime,cumtime
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 119, '__post_init__')",2,1.4166000000000001e-05,0.293582083
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 153, 'C')",2,2.91e-07,2.91e-07
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 185, '<dictcomp>')",1,0.000131666,0.000131666
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/managers/contracts.py', 19, 'init_tenderly_event_contracts')",1,5.84e-07,5.84e-07
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 250, '__post_init__')",2,3.834e-06,0.29358591700000003
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 1216, '<listcomp>')",1,0.000802745,0.004252541
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 1225, '<listcomp>')",1,0.0005148,0.0035042080000000004
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/network.py', 119, 'new')",1,3.209e-06,5.292e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/network.py', 133, '__init__')",1,1.291e-06,2.0830000000000002e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/base.py', 16, '__init__')",4,2.5010000000000003e-06,2.793e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/db.py', 34, 'new')",1,1.3750000000000002e-06,5e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/db.py', 54, '__init__')",1,4.16e-07,7.08e-07
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/db.py', 73, '__init__')",1,2.917e-06,3.625e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/logger.py', 34, 'get_logger')",1,1.5289000000000002e-05,0.0006115840000000001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/logger.py', 93, 'debug')",45042,0.037855332000000005,0.076632381
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/logger.py', 97, 'info')",54,9.8243e-05,0.005427709
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/logger.py', 89, 'logger')",45096,0.0056549750000000005,0.0056549750000000005
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/logger.py', 109, 'new')",1,2.125e-06,0.0006187920000000001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/logger.py', 122, '__init__')",1,3.6240000000000004e-06,0.000616667
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/provider.py', 44, 'new')",1,3.4990000000000003e-06,0.41565945800000004
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/provider.py', 69, '__init__')",1,8.33e-07,1.083e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/provider.py', 81, '__init__')",1,2.5291000000000002e-05,0.41565591700000004
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/config.py', 65, 'new')",1,8.25e-06,0.416307792
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/config.py', 95, 'is_config_item')",19730,0.015914087,0.025753284
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/connect.py', 40, '__call__')",1,1.5e-06,1.5e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/connect.py', 126, 'is_connected')",1,1.66e-07,1.66e-07
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/connect.py', 161, 'connect_network')",1,8.1542e-05,0.0010367080000000001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/config.py', 109, 'get_attribute_from_config')",19730,0.004509834,0.005966973
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/config.py', 118, '__getattr__')",19730,0.004519588000000001,0.036239845
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/config.py', 126, '__post_init__')",1,8.625000000000001e-06,0.41567333300000003
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 26, '__eq__')",1989,0.00022572600000000001,0.000283095
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 29, '__hash__')",3004,0.00023764900000000001,0.00037167900000000003
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 59, 'cfg')",25,4.3750000000000005e-06,4.3750000000000005e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 91, '<listcomp>')",1,0.00012020900000000001,0.00012020900000000001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 89, 'remove_unsupported_exchanges')",1,1.0917e-05,0.000751166
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 104, 'has_balance')",4783,0.0009674200000000001,0.0009674200000000001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 140, '<listcomp>')",7,0.001589038,0.002556458
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 147, '<listcomp>')",6,0.00036350200000000003,0.00036350200000000003
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 123, 'filter_pools')",13,6.998000000000001e-06,0.0029269580000000003
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 151, 'log_pool_numbers')",23,3.6662e-05,0.000992374
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 190, '<listcomp>')",1,2.4417e-05,0.002585084
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 198, '<listcomp>')",7,0.00035899900000000004,0.00035899900000000004
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 202, '<listcomp>')",1,0.139473125,0.139473125
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 208, '<listcomp>')",7,0.001250292,0.001250292
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 165, 'remove_zero_liquidity_pools')",1,2.9625000000000002e-05,0.144315625
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 221, '<listcomp>')",1,0.001248042,0.001248042
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 216, 'remove_unmapped_uniswap_v2_pools')",1,8.956e-06,0.311233291
